b.MP4 | 00:11:10.031=no, 00:23:38.023=yes, 00:27:49.793=yes
gg.MP4 | 00:00:26.914=no, 00:01:45.942=no, 00:01:03.437=no
grn.MP4 | 00:25:56.980=yes, 00:33:52.844=yes
gs.MP4 | 00:00:22.906=yes, 00:00:12.837=yes, 00:01:21.356=yes
gs2.MP4 | 00:03:27.291=no, 00:20:39.817=yes, 00:17:04.302=yes
gs3.MP4 | 00:00:38.353=no, 00:00:14.096=no, 00:00:05.645=yes
gs4.MP4 | 00:00:30.819=yes, 00:00:36.155=yes
lb.MP4 | 00:07:22.510=no, 00:07:01.653=no, 00:05:27.393=no
lb2.MP4 | 00:01:56.912=no, 00:16:17.493=yes, 00:06:17.880=no, 00:16:12.445=yes, 00:14:27.731=yes, 00:16:48.536=yes
lb3.MP4 | 00:14:47.577=no, 00:09:41.325=no, 00:03:29.062=no
mbb.MP4 | 00:04:17.035=no, 00:10:49.790=yes, 00:09:51.790=no
mbb2.MP4 | 00:00:41.373=no, 00:00:31.236=no, 00:02:26.263=yes, 00:00:46.885=no, 00:02:29.209=no
mbb4.MP4 | 00:25:40.731=no, 00:25:53.639=no, 00:04:22.730=no
min.MP4 | 00:14:40.878=yes, 00:16:32.653=yes, 00:14:56.755=yes, 00:12:58.054=yes
min2.MP4 | 00:02:51.244=no, 00:12:06.256=no, 00:18:38.352=no, 00:36:15.822=no
mt.MP4 | 00:01:51.484=no, 00:03:33.826=no
mt2.MP4 | 00:07:50.663=no, 00:33:30.110=no, 00:11:03.950=no
mt3.MP4 | 00:01:00.356=no, 00:01:16.012=no, 00:01:32.770=no
mw.MP4 | 00:14:16.272=no, 00:12:47.557=no, 00:14:47.948=no, 00:12:10.212=no, 00:01:56.065=no
n.MP4 | 00:05:36.164=yes, 00:12:52.048=yes, 00:04:48.888=yes, 00:07:18.280=yes, 00:09:01.404=yes, 00:02:48.964=yes, 00:04:40.819=yes, 00:08:57.213=yes
na.MP4 | 00:00:55.024=no, 00:01:01.454=no, 00:00:16.030=yes, 00:00:56.773=no
nt.MP4 | 00:22:12.688=no, 00:22:05.114=no, 00:22:21.547=no, 00:05:27.533=no, 00:18:56.847=yes
nt2.MP4 | 00:00:27.051=yes, 00:02:21.519=no, 00:01:28.869=no, 00:02:01.021=no
nt3.MP4 | 00:01:36.870=no, 00:00:06.853=no
pa.MP4 | 00:33:06.213=no, 00:04:10.898=no, 00:01:51.445=no, 00:13:50.262=no
pb.MP4 | 00:11:37.655=no, 00:13:20.405=no, 00:02:49.350=yes
pin.MP4 | 00:19:39.413=yes, 00:24:38.577=yes, 00:05:54.578=yes
pin2.MP4 | 00:01:07.105=yes, 00:01:38.812=yes, 00:01:24.847=yes
po.MP4 | 00:25:46.122=yes
po2.MP4 | 00:14:28.662=yes, 00:05:08.017=yes, 00:07:18.884=yes, 00:03:00.513=yes
po3.MP4 | 00:14:26.148=yes, 00:13:17.018=yes, 00:14:41.598=yes
po4.MP4 | 00:09:05.537=yes, 00:25:05.745=yes, 00:22:51.017=yes
po5.MP4 | 00:02:19.160=no, 00:08:39.092=no
pp.MP4 | 00:03:23.031=no
pu.MP4 | 00:04:38.945=yes, 00:04:47.012=yes, 00:00:24.359=no, 00:04:17.233=no
rb.MP4 | 00:14:52.822=yes
rb3.MP4 | 00:01:03.349=no, 00:01:46.697=no, 00:01:28.369=no, 00:01:59.224=no, 00:00:12.353=no
str.MP4 | 00:00:10.988=no, 00:01:15.819=no, 00:02:16.771=no, 00:01:34.628=no
tar.MP4 | 00:22:30.717=yes, 00:12:08.048=yes
tar2.MP4 | 00:11:00.840=yes, 00:04:50.461=yes, 00:05:15.149=yes, 00:01:18.183=yes, 00:12:11.944=yes, 00:08:03.868=yes, 00:12:22.001=yes, 00:04:21.655=yes
tt.MP4 | 00:04:17.633=no, 00:18:27.488=yes, 00:21:39.988=yes, 00:11:30.211=no
tt2.MP4 | 00:01:29.216=yes, 00:00:45.770=yes, 00:01:38.285=yes
tur.MP4 | 00:05:11.621=no, 00:06:56.934=no, 00:15:07.488=yes
tur2.MP4 | 00:02:07.208=no, 00:00:46.113=no, 00:02:16.292=yes
wr.MP4 | 00:25:22.851=yes, 00:27:34.646=yes
na.MP4 | 00:00:13.719=yes
po4.MP4 | 00:15:02.459=yes
pu.MP4 | 00:04:43.357=yes
po3.MP4 | 00:14:26.023=yes
tar.MP4 | 00:10:17.117=yes
pin2.MP4 | 00:01:38.531=yes
bsn.MP4 | 00:18:23.604=no
gs.MP4 | 00:00:25.674=yes
btr2.MP4 | 00:00:05.371=yes
bre.MP4 | 00:00:00.863=yes
btr.MP4 | 00:00:50.121=yes
tar2.MP4 | 00:12:21.791=yes
ba5.MP4 | 00:02:12.407=no
fp.MP4 | 00:04:39.048=yes
fort3.MP4 | 00:01:39.888=yes
bk.MP4 | 00:26:16.625=yes
dt.MP4 | 00:01:19.185=yes
bd.MP4 | 00:30:27.756=yes
tur.MP4 | 00:15:05.392=yes
dt.MP4 | 00:01:19.408=yes
bmsn3.MP4 | 00:00:25.563=no
pin2.MP4 | 00:01:24.917=no
bm2.MP4 | 00:01:03.200=no
gs2.MP4 | 00:08:55.282=no
bmsn3.MP4 | 00:00:06.096=no
po3.MP4 | 00:08:33.559=yes
po3.MP4 | 00:14:25.611=yes
cb.MP4 | 00:01:14.082=no
fort2.MP4 | 00:00:53.276=yes
bsn2.MP4 | 00:01:04.629=yes
fort3.MP4 | 00:04:19.221=yes
tt.MP4 | 00:21:37.089=yes
ga2.MP4 | 00:00:08.022=yes
tar2.MP4 | 00:12:21.265=yes
fort2.MP4 | 00:00:16.198=yes
grn.MP4 | 00:07:58.371=yes
cnb3.MP4 | 00:01:30.336=yes
ba6.MP4 | 00:20:59.503=no
pb.MP4 | 00:02:46.581=yes
min.MP4 | 00:14:58.424=yes
po2.MP4 | 00:07:20.244=yes
lb2.MP4 | 00:16:14.511=yes
cnb2.MP4 | 00:00:15.650=yes
rb3.MP4 | 00:00:27.563=no
btan.MP4 | 00:03:50.540=yes
bm.MP4 | 00:12:28.659=no
btr.MP4 | 00:00:46.611=yes
bk.MP4 | 00:28:57.781=yes
fort5.MP4 | 00:02:42.939=yes
mt3.MP4 | 00:00:26.172=yes
mbb.MP4 | 00:10:46.600=yes
fort4.MP4 | 00:08:21.192=no
ga2.MP4 | 00:00:05.038=yes
pin2.MP4 | 00:01:31.487=no
po2.MP4 | 00:05:07.194=yes
btr.MP4 | 00:00:50.772=yes
ba7.MP4 | 00:03:25.819=no
bu.MP4 | 00:06:38.927=no
btan.MP4 | 00:02:53.298=yes
bk2.MP4 | 00:09:14.487=yes
rb3.MP4 | 00:02:04.085=no
bsw.MP4 | 00:13:14.947=yes
tt2.MP4 | 00:00:56.607=yes
btr2.MP4 | 00:00:16.903=yes
n.MP4 | 00:07:15.947=yes
ba4.MP4 | 00:00:19.018=yes
gs.MP4 | 00:00:14.271=yes
cnb2.MP4 | 00:00:13.819=yes
pp.MP4 | 00:03:03.695=yes
brw4.MP4 | 00:00:18.653=no
mt3.MP4 | 00:00:26.773=no
min.MP4 | 00:15:00.129=yes
ba3.MP4 | 00:01:29.041=yes
bk.MP4 | 00:25:37.455=yes
ga2.MP4 | 00:00:10.791=no
bb2.MP4 | 00:03:23.962=yes
fort2.MP4 | 00:00:57.063=yes
pin.MP4 | 00:05:57.021=yes
btr.MP4 | 00:00:45.876=yes
bb2.MP4 | 00:03:19.921=yes
btr2.MP4 | 00:02:36.059=yes
fort3.MP4 | 00:01:27.926=yes
bsw.MP4 | 00:06:57.101=no
gs4.MP4 | 00:00:31.430=yes
btan.MP4 | 00:01:12.557=no
bb.MP4 | 00:00:30.927=no
po2.MP4 | 00:12:20.514=yes
btan.MP4 | 00:03:50.174=no
btr.MP4 | 00:03:26.482=yes
brw2.MP4 | 00:01:10.419=yes
bk.MP4 | 00:28:56.843=yes
grn.MP4 | 00:07:57.825=yes
fort3.MP4 | 00:01:40.906=yes
bb2.MP4 | 00:08:07.709=yes
na.MP4 | 00:00:14.460=yes
pu.MP4 | 00:04:37.653=yes
cb.MP4 | 00:01:33.269=no
pp.MP4 | 00:03:04.185=no
fort2.MP4 | 00:00:56.940=yes
po2.MP4 | 00:07:18.956=yes
bmsn3.MP4 | 00:00:05.244=yes
cnb3.MP4 | 00:01:29.776=yes
po4.MP4 | 00:09:06.327=yes
pu.MP4 | 00:03:32.076=no
na.MP4 | 00:00:32.949=no
pb.MP4 | 00:02:50.750=yes
rb.MP4 | 00:14:53.416=yes
blr.MP4 | 00:01:22.333=yes
pp.MP4 | 00:03:06.569=no
n.MP4 | 00:11:20.585=yes
tur2.MP4 | 00:02:04.830=no
gs2.MP4 | 00:16:44.349=yes
pin.MP4 | 00:24:39.773=yes
bh2.MP4 | 00:02:37.663=yes
wr.MP4 | 00:27:38.640=yes
rb3.MP4 | 00:02:44.071=no
bd.MP4 | 00:05:07.096=yes
tur2.MP4 | 00:02:16.589=no
fort3.MP4 | 00:04:18.737=yes
fort3.MP4 | 00:04:18.772=yes
btr.MP4 | 00:00:49.130=yes
fort4.MP4 | 00:05:30.439=yes
pb.MP4 | 00:13:23.825=no
fort.MP4 | 00:03:10.935=yes
tar.MP4 | 00:13:35.828=yes
ba7.MP4 | 00:02:05.214=no
bsn2.MP4 | 00:00:37.470=yes
na.MP4 | 00:00:11.734=yes
fort5.MP4 | 00:13:50.595=no
fort3.MP4 | 00:01:10.216=yes
btr3.MP4 | 00:03:57.361=no
gs2.MP4 | 00:20:38.867=yes
tur.MP4 | 00:15:07.300=yes
nt3.MP4 | 00:01:47.431=no
pin.MP4 | 00:05:57.602=no
fort3.MP4 | 00:01:43.564=yes
fort3.MP4 | 00:04:18.064=yes
ba6.MP4 | 00:12:22.924=no
mbb2.MP4 | 00:00:41.817=yes
fort5.MP4 | 00:02:43.525=yes
bh2.MP4 | 00:01:18.735=yes
bd.MP4 | 00:16:56.598=yes
ba4.MP4 | 00:00:17.279=yes
bg2.MP4 | 00:00:39.681=yes
btr.MP4 | 00:03:27.077=yes
tar2.MP4 | 00:12:22.877=yes
fort5.MP4 | 00:01:03.163=no
n.MP4 | 00:07:17.744=yes
bk2.MP4 | 00:00:43.737=yes
min.MP4 | 00:15:00.733=yes
na.MP4 | 00:00:17.334=yes
po3.MP4 | 00:14:24.625=yes
fort4.MP4 | 00:02:06.465=yes
fort3.MP4 | 00:01:42.097=yes
ga2.MP4 | 00:00:07.718=yes
bh2.MP4 | 00:01:13.979=yes
bla2.MP4 | 00:28:28.037=yes
dt.MP4 | 00:00:17.685=yes
pu.MP4 | 00:04:26.813=yes
bd.MP4 | 00:05:07.736=yes
ba2.MP4 | 00:04:50.845=yes
bd3.MP4 | 00:00:33.858=no
mbb.MP4 | 00:10:45.987=yes
bd2.MP4 | 00:02:35.410=no
tar2.MP4 | 00:10:46.857=yes
bla2.MP4 | 00:28:29.887=yes
bh2.MP4 | 00:01:14.136=yes
btan.MP4 | 00:02:51.725=yes
cnb3.MP4 | 00:01:33.226=yes
min.MP4 | 00:13:01.002=yes
mt.MP4 | 00:04:52.974=no
fp.MP4 | 00:04:40.210=yes
bmsn3.MP4 | 00:00:02.622=yes
gs.MP4 | 00:01:21.656=yes
bmsn3.MP4 | 00:00:03.572=yes
tar.MP4 | 00:10:17.135=yes
gs2.MP4 | 00:17:04.237=no
lb2.MP4 | 00:16:12.481=yes
pin.MP4 | 00:24:40.508=yes
bh2.MP4 | 00:01:41.165=yes
tur.MP4 | 00:15:09.834=yes
bd.MP4 | 00:17:05.142=yes
nmb.MP4 | 00:03:55.148=no
gs.MP4 | 00:00:57.716=yes
fort.MP4 | 00:03:10.500=yes
bla2.MP4 | 00:32:08.728=yes
ga2.MP4 | 00:00:05.181=yes
bk.MP4 | 00:28:57.870=yes
rb2.MP4 | 00:01:14.124=no
rb2.MP4 | 00:00:30.123=yes
rb2.MP4 | 00:01:11.497=no
tar.MP4 | 00:18:47.896=yes
bmsn3.MP4 | 00:00:02.818=yes
min.MP4 | 00:12:17.741=yes
fort2.MP4 | 00:00:53.714=yes
ba4.MP4 | 00:02:22.376=yes
pin2.MP4 | 00:01:24.162=no
brw4.MP4 | 00:00:15.600=yes
tar.MP4 | 00:12:21.071=yes
tur2.MP4 | 00:02:00.205=no
fort4.MP4 | 00:06:21.958=yes
fp.MP4 | 00:05:22.900=yes
fort2.MP4 | 00:00:37.165=yes
rb2.MP4 | 00:01:45.509=yes
bh2.MP4 | 00:01:19.963=yes
bd.MP4 | 00:21:02.991=yes
grn.MP4 | 00:07:57.535=yes
po2.MP4 | 00:12:47.386=yes
rb2.MP4 | 00:01:57.278=yes
po4.MP4 | 00:10:09.301=yes
pb.MP4 | 00:02:52.085=yes
ba3.MP4 | 00:04:12.370=yes
na.MP4 | 00:00:10.104=yes
tur.MP4 | 00:19:07.962=no
tt.MP4 | 00:21:11.931=yes
pin.MP4 | 00:22:30.252=yes
dt.MP4 | 00:01:19.313=yes
ba7.MP4 | 00:01:11.711=no
brw4.MP4 | 00:00:15.600=yes
wr.MP4 | 00:26:07.253=yes
tur.MP4 | 00:15:06.987=yes
pin2.MP4 | 00:01:38.654=yes
grn.MP4 | 00:04:05.501=no
min.MP4 | 00:12:40.437=yes
ga2.MP4 | 00:00:04.931=yes
brw3.MP4 | 00:05:07.932=yes
fort3.MP4 | 00:03:49.843=yes
lb2.MP4 | 00:16:15.805=yes
dbg.MP4 | 00:03:33.165=yes
bg.MP4 | 00:11:34.201=yes
po2.MP4 | 00:05:41.400=yes
brw2.MP4 | 00:03:41.547=yes
bb2.MP4 | 00:03:20.634=yes
nt3.MP4 | 00:00:48.270=no
po3.MP4 | 00:14:16.506=yes
bu.MP4 | 00:06:36.841=no
na.MP4 | 00:00:12.238=yes
pin2.MP4 | 00:01:38.637=yes
fort3.MP4 | 00:01:04.779=yes
cnb2.MP4 | 00:00:29.502=yes
tur2.MP4 | 00:02:11.568=yes
wr.MP4 | 00:27:04.409=yes
fort2.MP4 | 00:00:45.002=yes
blr.MP4 | 00:01:15.799=yes
po5.MP4 | 00:10:17.037=no
ba4.MP4 | 00:01:21.864=yes
fort3.MP4 | 00:02:48.671=yes
fort3.MP4 | 00:01:41.044=yes
bd2.MP4 | 00:01:54.954=no
fort3.MP4 | 00:03:50.050=yes
bd.MP4 | 00:17:36.393=yes
lb2.MP4 | 00:16:10.272=yes
mbb3.MP4 | 00:00:39.160=no
ga.MP4 | 00:12:05.711=no
mbb.MP4 | 00:10:43.829=no
ba2.MP4 | 00:04:50.655=yes
lb2.MP4 | 00:15:02.043=yes
mt2.MP4 | 00:12:58.103=no
fort3.MP4 | 00:04:11.850=yes
bre.MP4 | 00:00:00.415=yes
mbb3.MP4 | 00:00:51.075=no
gs.MP4 | 00:00:58.383=yes
tar.MP4 | 00:15:59.318=yes
bd.MP4 | 00:24:38.341=yes
tar2.MP4 | 00:06:50.346=yes
brw2.MP4 | 00:03:46.478=yes
fort5.MP4 | 00:02:59.065=yes
na.MP4 | 00:00:17.156=yes
n.MP4 | 00:07:06.902=yes
po2.MP4 | 00:14:27.178=yes
b.MP4 | 00:23:38.139=no
cnb3.MP4 | 00:01:28.471=yes
pin.MP4 | 00:24:42.302=yes
bd.MP4 | 00:18:40.347=no
btr2.MP4 | 00:00:17.101=yes
bm2.MP4 | 00:01:00.289=no
bk.MP4 | 00:30:30.935=yes
fort3.MP4 | 00:01:39.698=yes
pb.MP4 | 00:12:03.872=no
tt.MP4 | 00:21:38.377=yes
cnb3.MP4 | 00:01:12.902=yes
fort2.MP4 | 00:00:51.769=yes
min.MP4 | 00:13:54.172=yes
bd2.MP4 | 00:01:52.902=no
po3.MP4 | 00:08:47.844=yes
tt2.MP4 | 00:01:12.224=yes
bmsn3.MP4 | 00:00:03.212=yes
btr2.MP4 | 00:01:30.877=yes
mt3.MP4 | 00:00:12.452=no
mt3.MP4 | 00:02:06.186=no
bm.MP4 | 00:21:06.280=yes
bb2.MP4 | 00:03:20.010=yes
bk.MP4 | 00:27:12.308=yes
pu.MP4 | 00:04:39.197=yes
b.MP4 | 00:27:52.727=yes
ba4.MP4 | 00:01:58.007=yes
btr.MP4 | 00:02:13.891=yes
bm.MP4 | 00:21:06.137=yes
bla2.MP4 | 00:28:32.627=yes
bp.MP4 | 00:00:22.474=no
bp.MP4 | 00:00:08.199=no
dbg.MP4 | 00:03:33.196=yes
tar.MP4 | 00:20:13.407=yes
btr2.MP4 | 00:00:05.371=yes
bg2.MP4 | 00:00:37.136=yes
gs2.MP4 | 00:18:32.860=yes
grn.MP4 | 00:16:25.505=yes
ba2.MP4 | 00:04:49.858=yes
bsn.MP4 | 00:05:49.635=no
bg.MP4 | 00:11:35.696=yes
nt.MP4 | 00:18:57.473=yes
bmsn3.MP4 | 00:00:03.212=yes
nt.MP4 | 00:18:54.048=yes
tur.MP4 | 00:15:06.111=yes
btur.MP4 | 00:06:15.083=yes
cnb2.MP4 | 00:00:17.415=perfect
btan.MP4 | 00:01:28.827=yes
fort3.MP4 | 00:02:35.812=yes
bsn2.MP4 | 00:01:00.458=yes
bsw.MP4 | 00:10:22.591=yes
gs4.MP4 | 00:00:33.181=yes
blr.MP4 | 00:01:16.999=yes
ba3.MP4 | 00:03:03.768=yes
tar2.MP4 | 00:10:12.847=yes
bre.MP4 | 00:00:04.314=no
ba4.MP4 | 00:00:17.467=yes
mbb4.MP4 | 00:25:01.849=no
po5.MP4 | 00:10:23.511=no
bd.MP4 | 00:30:23.588=yes
bm.MP4 | 00:21:07.654=yes
fort5.MP4 | 00:02:49.395=yes
bb2.MP4 | 00:03:19.981=yes
fort3.MP4 | 00:02:46.030=yes
po2.MP4 | 00:07:18.974=yes
b.MP4 | 00:27:50.577=yes
bla2.MP4 | 00:28:29.818=yes
tar.MP4 | 00:22:26.963=yes
pin2.MP4 | 00:01:37.337=no
bh2.MP4 | 00:01:13.680=yes
pin2.MP4 | 00:01:38.795=yes
bk.MP4 | 00:26:24.979=perfect
tar.MP4 | 00:15:16.074=perfect
cnb3.MP4 | 00:01:27.850=yes
po2.MP4 | 00:11:32.425=yes
tur.MP4 | 00:15:09.772=yes
pu.MP4 | 00:04:34.439=yes
str.MP4 | 00:00:16.773=no
ga2.MP4 | 00:00:00.822=yes
ba3.MP4 | 00:05:50.549=yes
fort4.MP4 | 00:02:04.801=yes
na.MP4 | 00:00:16.682=yes
brp.MP4 | 00:38:35.064=yes
dbg.MP4 | 00:03:33.289=yes
fp.MP4 | 00:04:40.448=yes
fort2.MP4 | 00:00:38.918=yes
pb.MP4 | 00:02:47.428=yes
brw.MP4 | 00:03:01.124=no
po2.MP4 | 00:06:28.577=yes
cnb2.MP4 | 00:00:15.184=perfect
gs.MP4 | 00:01:02.384=yes
lb2.MP4 | 00:15:02.708=yes
tur.MP4 | 00:19:11.122=no
cnb3.MP4 | 00:01:33.132=yes
btr2.MP4 | 00:00:07.180=yes
brw4.MP4 | 00:00:15.142=yes
bm2.MP4 | 00:01:06.023=yes
bsw.MP4 | 00:10:24.180=no
fort.MP4 | 00:03:10.395=yes
blr.MP4 | 00:01:19.866=yes
min.MP4 | 00:13:24.550=yes
ba6.MP4 | 00:03:28.581=yes
grn.MP4 | 00:16:25.795=yes
dbg.MP4 | 00:03:33.258=yes
btan.MP4 | 00:03:53.912=no
blr.MP4 | 00:01:22.499=yes
bk.MP4 | 00:27:04.733=yes
bmsn3.MP4 | 00:00:04.195=yes
fort5.MP4 | 00:02:59.037=yes
nt3.MP4 | 00:00:13.077=yes
tt2.MP4 | 00:01:04.268=yes
tt2.MP4 | 00:01:11.733=yes
lb2.MP4 | 00:14:43.522=yes
cnb.MP4 | 00:00:46.283=no
bh2.MP4 | 00:02:38.277=yes
po3.MP4 | 00:08:38.201=yes
grn.MP4 | 00:25:48.206=perfect
nt.MP4 | 00:18:54.213=yes
tur.MP4 | 00:09:16.288=no
gs.MP4 | 00:00:11.637=yes
lb2.MP4 | 00:15:15.031=yes
tt2.MP4 | 00:00:59.947=yes
bd.MP4 | 00:24:04.305=yes
wr.MP4 | 00:26:31.591=yes
mbb3.MP4 | 00:02:15.008=no
ba3.MP4 | 00:05:48.728=yes
tar2.MP4 | 00:06:50.294=yes
btr.MP4 | 00:00:48.564=yes
btan.MP4 | 00:02:52.202=yes
fort2.MP4 | 00:00:53.048=yes
na.MP4 | 00:00:15.408=yes
mbb.MP4 | 00:10:46.503=yes
nt.MP4 | 00:18:54.180=yes
btan.MP4 | 00:02:53.523=yes
bd.MP4 | 00:24:04.634=yes
blr.MP4 | 00:01:20.599=yes
po3.MP4 | 00:09:37.349=yes
lb2.MP4 | 00:16:24.302=yes
ba6.MP4 | 00:03:28.599=yes
wr.MP4 | 00:27:18.421=yes
dbg.MP4 | 00:03:33.258=yes
fort3.MP4 | 00:02:55.040=yes
tur.MP4 | 00:15:07.425=yes
nt.MP4 | 00:18:52.237=yes
cnb2.MP4 | 00:00:30.202=perfect
bh.MP4 | 00:16:10.363=perfect
cnb2.MP4 | 00:00:16.350=yes
btr.MP4 | 00:03:13.605=yes
rb3.MP4 | 00:00:37.720=no
po2.MP4 | 00:12:44.183=yes
n.MP4 | 00:12:06.915=no
tar.MP4 | 00:17:56.883=perfect
bg2.MP4 | 00:00:40.083=yes
brw4.MP4 | 00:00:01.832=yes
cnb2.MP4 | 00:00:13.619=perfect
bb2.MP4 | 00:03:20.753=yes
fort3.MP4 | 00:02:40.749=yes
bh2.MP4 | 00:02:11.354=yes
bd.MP4 | 00:22:41.742=yes
nt.MP4 | 00:18:55.168=yes
nt.MP4 | 00:18:57.012=yes
pb.MP4 | 00:02:45.018=yes
bk2.MP4 | 00:01:16.988=yes
